Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Martyna Kubka,F,R,POL,0.0,72.0,0.5416666666666666,2020.0,2019.0,2020.0,2021.0
Heejin Han,F,U,KOR,0.0,6.0,0.3333333333333333,2019.0,2018.0,2019.0,2019.0
Kristina Kudryavtseva,F,U,RUS,0.0,10.0,0.3,2019.0,2018.0,2019.0,2019.0
Ekaterina Makarova 1996,F,U,RUS,3.0,89.0,0.550561797752809,2018.0,2019.0,2018.0,2019.0
Hwui Won Wi,F,U,KOR,0.0,16.0,0.5,2019.0,2018.0,2019.0,2018.0
Yubean Lee,F,U,KOR,0.0,5.0,0.2,2019.0,2018.0,2019.0,2019.0
Sun Bin Kim,F,U,KOR,0.0,4.0,0.25,2019.0,2018.0,2019.0,2019.0
Iulia Vlaiculescu,F,U,ROU,0.0,6.0,0.16666666666666666,2019.0,2018.0,2019.0,2019.0
Petra Seresova,F,U,SVK,0.0,2.0,0.5,2018.0,2018.0,2018.0,2018.0
Nadine Keller,F,U,SUI,0.0,83.0,0.5783132530120482,2021.0,2018.0,2021.0,2018.0
Eline Audenaert,F,U,BEL,0.0,76.0,0.42105263157894735,2019.0,2018.0,2019.0,2020.0
Sinja Kraus,F,U,AUT,1.0,115.0,0.5652173913043478,2021.0,2018.0,2021.0,2020.0
Laura Boehner,F,U,GER,0.0,40.0,0.225,2021.0,2018.0,2021.0,2020.0
Joelle Lilly Sophie Steur,F,U,GER,0.0,19.0,0.3684210526315789,2019.0,2018.0,2019.0,2018.0
Nika Zupancic,F,U,SLO,0.0,16.0,0.3125,2021.0,2020.0,2019.0,2018.0
Chie Kezuka,F,R,JPN,0.0,10.0,0.4,2018.0,2018.0,2018.0,2019.0
Ikumi Yamazaki,F,U,JPN,0.0,19.0,0.47368421052631576,2019.0,2020.0,2019.0,2018.0
Eunseo Yun,F,U,KOR,0.0,5.0,0.2,2019.0,2018.0,2019.0,2019.0
Eunji Lee,F,U,KOR,0.0,17.0,0.47058823529411764,2019.0,2018.0,2019.0,2018.0
Ha Yeong Ryu,F,U,KOR,0.0,8.0,0.5,2019.0,2018.0,2019.0,2018.0
Sravya Shivani Chilakalapudi,F,R,IND,0.0,39.0,0.46153846153846156,2019.0,2018.0,2019.0,2021.0
Warisara Lee,F,U,THA,0.0,12.0,0.08333333333333333,2019.0,2018.0,2019.0,2019.0
Alina Shcherbinina,F,U,RUS,0.0,17.0,0.4117647058823529,2019.0,2018.0,2019.0,2021.0
Veronika Bokor,F,U,AUT,0.0,35.0,0.34285714285714286,2019.0,2018.0,2021.0,2020.0
Laura Radakovic,F,U,BIH,0.0,30.0,0.3333333333333333,2021.0,2020.0,2021.0,2018.0
Monika Svobodova,F,U,CZE,0.0,6.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0
Camila Garcia,F,U,POR,0.0,7.0,0.14285714285714285,2018.0,2019.0,2018.0,2018.0
Silvia Vargas Jimenez,F,U,ESP,0.0,3.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0
Maria Berlanga Bandera,F,U,ESP,0.0,9.0,0.2222222222222222,2020.0,2018.0,2020.0,2020.0
