Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Andre Sa,M,R,BRA,0.0,2.0,0.0,2016.0,2016.0,,
Alejandro Hernandez,M,R,MEX,0.0,1.0,0.0,2018.0,2018.0,,
Brian Battistone,M,R,USA,0.0,2.0,0.0,2016.0,2016.0,,
Teodor Dacian Craciun,M,R,ROU,0.0,1.0,0.0,2017.0,2017.0,,
Oliver Marach,M,R,AUT,0.0,2.0,0.0,2017.0,2017.0,,
Boris Nicola Bakalov,M,L,BUL,0.0,1.0,0.0,2016.0,2016.0,,
Ivo Klec,M,R,SVK,0.0,1.0,0.0,2018.0,2018.0,,
Marcin Matkowski,M,R,POL,0.0,1.0,0.0,2017.0,2017.0,,
Rahim Esmail,M,R,CAN,0.0,1.0,0.0,2017.0,2017.0,,
John Paul Fruttero,M,R,USA,0.0,5.0,0.0,2019.0,2016.0,,
Eric Butorac,M,L,USA,0.0,2.0,0.0,2016.0,2016.0,,
Catalin Ionut Gard,M,R,ROU,0.0,1.0,0.0,2017.0,2017.0,,
Scott Lipsky,M,R,USA,0.0,3.0,0.0,2016.0,2017.0,,
Igor Kunitsyn,M,R,RUS,0.0,1.0,0.0,2016.0,2016.0,,
James Cerretani,M,L,USA,0.0,1.0,0.0,2019.0,2019.0,,
Anoosha Shahgholi,M,U,IRI,0.0,1.0,0.0,2017.0,2017.0,,
Omar Awadhy,M,R,UAE,0.0,2.0,0.0,2017.0,2017.0,,
Bruno Soares,M,R,BRA,0.0,1.0,0.0,2020.0,2020.0,,
Nicholas Monroe,M,R,USA,0.0,1.0,0.0,2018.0,2018.0,,
Chris Wettengel,M,R,USA,0.0,1.0,0.0,2019.0,2019.0,,
Giulio Di Meo,M,U,ITA,0.0,1.0,0.0,2016.0,2016.0,,
Joel Kielbowicz,M,U,USA,0.0,1.0,0.0,2017.0,2017.0,,
Enrico Iannuzzi,M,R,ITA,0.0,1.0,0.0,2018.0,2018.0,,
Gleb Alekseenko,M,R,UKR,0.0,1.0,0.0,2017.0,2017.0,,
Vadim Alekseenko,M,R,UKR,0.0,2.0,0.0,2017.0,2017.0,,
Joseph Huber,M,R,AUT,0.0,1.0,0.0,2016.0,2016.0,,
Marcelo Melo,M,R,BRA,0.0,1.0,0.0,2021.0,2021.0,,
Vishal Punna,M,R,IND,0.0,1.0,0.0,2017.0,2017.0,,
Leon Frost,M,R,AUS,0.0,1.0,0.0,2016.0,2016.0,,
Pietro Ansaldo,M,R,ITA,0.0,1.0,0.0,2017.0,2017.0,,
Rui Machado,M,R,POR,0.0,1.0,0.0,2016.0,2016.0,,
Florin Mergea,M,R,ROU,0.0,1.0,0.0,2016.0,2016.0,,
Daniel Garza,M,R,MEX,0.0,3.0,0.0,2016.0,2016.0,,
Gero Kretschmer,M,R,GER,0.0,2.0,0.0,2016.0,2016.0,,
Alexander Perfilov,M,R,RUS,0.0,1.0,0.0,2016.0,2016.0,,
Francesco Borgo,M,R,ITA,0.0,1.0,0.0,2016.0,2016.0,,
Filip Polasek,M,R,SVK,0.0,1.0,0.0,2018.0,2018.0,,
Patrick Tierro,M,U,PHI,0.0,2.0,0.0,2016.0,2016.0,,
Treat Conrad Huey,M,L,PHI,0.0,2.0,0.0,2016.0,2016.0,,
Andrea Falgheri,M,R,ITA,0.0,1.0,0.0,2016.0,2016.0,,
Alexander Pavlioutchenkov,M,R,RUS,0.0,6.0,0.0,2018.0,2017.0,,
Bumpei Sato,M,R,JPN,0.0,1.0,0.0,2016.0,2016.0,,
Artem Sitak,M,R,NZL,0.0,5.0,0.0,2016.0,2017.0,,
Victor Mugurel Anagnastopol,M,R,ROU,0.0,2.0,0.0,2016.0,2016.0,,
