,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
2831,Carlota Martinez Cirez,F,R,ESP,0.0,85.0,0.6,2021.0,2017.0,2021.0,2018.0,948.0148176291793
2832,Sophie Walzl,F,U,ITA,0.0,3.0,0.3333333333333333,2019.0,2017.0,2019.0,2019.0,
2833,Salma Loudili,F,R,MAR,0.0,4.0,0.25,2019.0,2017.0,2019.0,2019.0,
2834,Sara Akid,F,U,MAR,0.0,16.0,0.375,2020.0,2017.0,2020.0,2021.0,
2835,Emma Mazzoni,F,U,FRA,0.0,36.0,0.1666666666666666,2019.0,2017.0,2019.0,2021.0,
2836,Ine Soltveit Stange,F,U,NOR,0.0,4.0,0.25,2019.0,2017.0,2019.0,2019.0,
2837,Emily Morton,F,U,GBR,0.0,17.0,0.2941176470588235,2019.0,2017.0,2019.0,2020.0,
2838,Miray Konar,F,U,TUR,0.0,24.0,0.4583333333333333,2021.0,2017.0,2021.0,2020.0,
2839,Semra Aksu,F,U,TUR,0.0,35.0,0.3714285714285714,2021.0,2017.0,2021.0,2020.0,
2840,Dejana Milenkovic,F,U,SRB,0.0,19.0,0.2105263157894736,2019.0,2017.0,2019.0,2021.0,
2841,Noelleda Ah San,F,U,AUS,0.0,14.0,0.3571428571428571,2020.0,2017.0,2020.0,2019.0,
2842,Milagros Jaime,F,U,ARG,0.0,4.0,0.25,2017.0,2017.0,2018.0,2018.0,
2843,Liz Carolina Chileno,F,U,PAR,0.0,7.0,0.4285714285714285,2017.0,2017.0,2017.0,2017.0,
2844,Beatriz Paciletti Duarte Da Costa,F,R,POR,0.0,10.0,0.1,2021.0,2017.0,2017.0,2017.0,
2845,Anastasiya Abramovich,F,U,BLR,0.0,4.0,0.25,2019.0,2017.0,2019.0,2019.0,
2846,Kristina Dmitruk,F,R,BLR,0.0,28.0,0.5,2021.0,2017.0,2021.0,2019.0,1189.4166666666665
2847,Ksenia Tarasova,F,U,RUS,0.0,16.0,0.375,2019.0,2017.0,2018.0,2018.0,
2848,Linda Cagnazzo,F,U,ITA,0.0,19.0,0.3157894736842105,2019.0,2017.0,2020.0,2018.0,
2849,Delien Kleinhans,F,U,RSA,0.0,10.0,0.2,2018.0,2017.0,2018.0,2018.0,
2850,Rochelle Pienaar,F,U,RSA,0.0,5.0,0.2,2018.0,2017.0,2018.0,2018.0,
2851,Mariana Carvajal,F,U,COL,0.0,12.0,0.25,2019.0,2017.0,2018.0,2018.0,
2852,Gabriela Macias,F,U,COL,0.0,11.0,0.3636363636363636,2019.0,2017.0,2019.0,2018.0,
2853,Andjela Jocovic,F,U,SRB,0.0,79.0,0.4430379746835443,2019.0,2017.0,2019.0,2017.0,1046.5449735449736
2854,Akanksha Dileep Nitture,F,R,IND,0.0,11.0,0.2727272727272727,2021.0,2018.0,2021.0,2021.0,
2855,Camila Ruiz Diaz,F,U,PAR,0.0,6.0,0.1666666666666666,2018.0,2017.0,2018.0,2018.0,
2856,Laura Mair,F,U,ITA,0.0,27.0,0.2222222222222222,2021.0,2017.0,2021.0,2018.0,
2857,Melania Delai,F,U,ITA,0.0,81.0,0.4691358024691358,2021.0,2017.0,2021.0,2018.0,739.4165178571429
2858,Namie Isago,F,U,BRA,0.0,2.0,0.5,2017.0,2017.0,2017.0,2017.0,
2859,Isabela Barona Estrada,F,U,ECU,0.0,3.0,0.3333333333333333,2017.0,2019.0,2017.0,2017.0,
2860,Manuela Gomez Estrada,F,R,ECU,0.0,4.0,0.25,2017.0,2017.0,2017.0,2017.0,
2861,Carolina Alvarez,F,L,ECU,0.0,12.0,0.3333333333333333,2019.0,2017.0,2019.0,2021.0,
2862,Humera Begum Shaik,F,U,IND,0.0,51.0,0.392156862745098,2019.0,2017.0,2019.0,2020.0,1240.9712918660287
