,Name,ace_percent,break_point,fspw,average_rank
56,Evita Ramirez,0.0,0.3157894736842105,0.5970149253731343,376.15686274509807
57,Cheng Yu Yu,0.09895833333333333,0.47058823529411764,0.7017543859649122,98.92307692307692
58,Billy Harris,0.07954545454545454,0.6363636363636364,0.6858974358974359,478.6666666666667
59,Bernarda Pera,0.0408298755186722,0.5494505494505495,0.6462942477876106,163.11080332409972
61,Kacper Zuk,0.07421590080233406,0.5797101449275363,0.6977521263669502,335.48
62,Chan Yeong Oh,0.03255813953488372,0.36363636363636365,0.6637168141592921,397.9
63,Ken Onoda,0.13836477987421383,0.5625,0.7209302325581395,550.8
65,Juan Martin del Potro,0.10547749949093871,0.5974376264329063,0.7386207454119169,93.70520231213872
67,Daniel Mora,0.0,0.42105263157894735,0.4797687861271676,330.27272727272725
69,Mirza Basic,0.08172183434627556,0.6094215861657722,0.7184148793565683,244.81138790035587
70,Corrado Summaria,0.024806201550387597,0.5757575757575758,0.630071599045346,669.9
71,Savriyan Danilov,0.05142857142857143,0.5384615384615384,0.6621621621621622,535.6666666666666
73,Scott Griekspoor,0.07548669050456894,0.627039627039627,0.7168694508385399,293.6625
74,Storm Sanders,0.03667679837892604,0.5452991452991452,0.623179022337326,281.10655737704917
75,Hugo Gaston,0.03835373948960023,0.5594202898550724,0.6446840521564694,208.37777777777777
77,Yanina Wickmayer,0.04839016955610592,0.5596885813148789,0.650786308973173,149.9245283018868
78,Franko Skugor,0.07441253263707572,0.594859241126071,0.711277410372433,284.0820895522388
79,Alison Bai,0.06712564543889846,0.39285714285714285,0.6631853785900783,320.27972027972027
80,Nicolas Alejandro De Gregorio,0.0,0.6153846153846154,0.6410256410256411,554.4
81,Quirine Lemoine,0.011750881316098707,0.5354330708661418,0.5795246800731262,447.7807486631016
83,Sam Querrey,0.14006803727259282,0.6302083333333334,0.7692931915929563,90.19396551724138
84,Radu Albot,0.0488167998746278,0.5844580777096114,0.6723393605706063,157.11275964391692
85,Max Wennakoski,0.06093189964157706,0.6,0.7133757961783439,1528.6666666666667
86,Arantxa Rus,0.030933909456938035,0.5504065040650407,0.6148159324079662,287.11082474226805
87,Lesia Tsurenko,0.024676695698073372,0.5275113579000504,0.6003900636419627,101.21363636363637
90,Svetlana Kuznetsova,0.035609551738583996,0.5262881177707676,0.6256400707569127,67.16
91,Cristian Rodriguez,0.0533731853116994,0.6148491879350348,0.6967301473230327,523.4657534246576
92,Igor Zelenay,0.07923771313941826,0.6346153846153846,0.6768,434.84615384615387
94,Facundo Bagnis,0.054234187140616834,0.5998026964814206,0.6821397474967349,232.57422969187675
