,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
665,Jea Moon Lee,M,R,KOR,0.0,10.0,0.4,2017.0,2016.0,2017.0,2018.0,865.9
666,Mate Pavic,M,L,CRO,0.0,7.0,0.4285714285714285,2016.0,2017.0,2017.0,2016.0,686.8333333333333
667,Jiri Vesely,M,L,CZE,3.0,302.0,0.5463576158940397,2019.0,2021.0,2019.0,2021.0,78.82888257575758
668,Bruno Santanna,M,R,BRA,0.0,39.0,0.4102564102564102,2016.0,2020.0,2016.0,2019.0,469.4970238095238
669,Oscar Otte,M,R,GER,2.0,288.0,0.5798611111111112,2019.0,2016.0,2017.0,2016.0,189.609324009324
670,Mikhail Vaks,M,R,RUS,0.0,5.0,0.8,2016.0,2016.0,2016.0,2016.0,
671,Bjorn Fratangelo,M,R,USA,3.0,302.0,0.5794701986754967,2017.0,2020.0,2017.0,2020.0,140.58772819472617
672,Marcos Giron,M,R,USA,2.0,239.0,0.5690376569037657,2019.0,2016.0,2019.0,2016.0,225.2359387923904
673,Dimitar Kuzmanov,M,R,BUL,0.0,166.0,0.5421686746987951,2021.0,2020.0,2021.0,2019.0,313.03209173464677
674,Aleksandre Metreveli,M,R,GEO,0.0,32.0,0.34375,2016.0,2018.0,2019.0,2020.0,475.3027777777778
675,Andrew Whittington,M,R,AUS,0.0,104.0,0.4807692307692308,2017.0,2019.0,2016.0,2018.0,256.47258903561425
676,Ji Sung Nam,M,R,KOR,0.0,66.0,0.5454545454545454,2019.0,2021.0,2019.0,2020.0,382.3649237472767
677,Juan Ignacio Londero,M,R,ARG,3.0,301.0,0.5481727574750831,2018.0,2021.0,2018.0,2021.0,217.3453003875969
678,Roberto Cid,M,R,DOM,0.0,161.0,0.4037267080745341,2018.0,2016.0,2018.0,2016.0,309.20952380952383
679,Dominic Thiem,M,R,AUT,14.0,352.0,0.6931818181818182,2016.0,2021.0,2016.0,2021.0,7.746753246753247
680,Aslan Karatsev,M,R,RUS,3.0,238.0,0.5714285714285714,2019.0,2017.0,2020.0,2017.0,247.0199236459079
681,Mate Delic,M,R,CRO,0.0,26.0,0.3846153846153846,2016.0,2017.0,2016.0,2017.0,455.71875
682,Robin Kern,M,R,GER,0.0,28.0,0.4642857142857143,2017.0,2018.0,2017.0,2018.0,482.276923076923
683,Nik Razborsek,M,L,SLO,0.0,15.0,0.4,2018.0,2020.0,2018.0,2018.0,605.4166666666667
684,Edoardo Eremin,M,R,ITA,0.0,79.0,0.5189873417721519,2016.0,2021.0,2016.0,2017.0,409.4453947368421
685,Joao Domingues,M,R,POR,2.0,199.0,0.457286432160804,2019.0,2016.0,2019.0,2016.0,207.50685005393743
686,Luis Patino,M,R,MEX,0.0,50.0,0.16,2018.0,2020.0,2016.0,2017.0,819.2571428571428
687,Joao Pedro Sorgi,M,R,BRA,0.0,120.0,0.5,2017.0,2020.0,2017.0,2019.0,417.52030976037406
688,Calum Puttergill,M,U,AUS,0.0,24.0,0.4583333333333333,2017.0,2019.0,2017.0,2016.0,1020.3846153846154
689,Pietro Rondoni,M,U,ITA,0.0,20.0,0.2,2018.0,2016.0,2017.0,2017.0,514.1875
690,Dennis Novikov,M,R,USA,1.0,204.0,0.4411764705882353,2016.0,2021.0,2016.0,2020.0,236.99338624338625
