Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Belinda Thompson,F,U,Undefined,0.0,,
Natasha Chmyreva,F,U,Undefined,0.0,,
Laura Du Pont,F,U,Undefined,0.0,,
Kaye Hallam,F,U,Undefined,0.0,,
Sally Greer,F,U,Undefined,0.0,,
Lois Raymond,F,U,Undefined,0.0,,
Linda Mottram,F,U,Undefined,0.0,,
Julie Staines,F,U,Undefined,0.0,,
Cheree Walker,F,U,Undefined,0.0,,
Carol Draper,F,U,Undefined,0.0,,
Jan Wilton,F,U,Undefined,0.0,,
Kerry Neill,F,U,Undefined,0.0,,
Kym Ruddell,F,U,Undefined,0.0,,
Merrilyn Robinson,F,U,Undefined,0.0,,
Julie Hanrahan,F,U,Undefined,0.0,,
Cecilia Martinez,F,U,Undefined,0.0,,
Frederique Thibault,F,U,Undefined,0.0,,
Lotta Stenberg,F,U,Undefined,0.0,,
Brigitte Simon Glinel,F,U,Undefined,0.0,,
Nina Bohm,F,U,Undefined,0.0,,
Heidi Eisterlehner,F,U,Undefined,0.0,,
Helga Masthoff,F,U,Undefined,0.0,,
Michelle Tyler,F,U,Undefined,0.0,,
Cathy Griffiths,F,U,Undefined,0.0,,
Renata Tomanova,F,U,Undefined,0.0,,
Elisabeth Ekblom,F,U,Undefined,0.0,,
Karen Gulley,F,U,Undefined,0.0,,
Rene Blount,F,U,Undefined,0.0,,
Beth Norton,F,U,Undefined,0.0,,
Leanne Harrison Austin,F,U,Undefined,0.0,,
Naoko Sato,F,U,Undefined,0.0,,
Birgitte Hermansen,F,U,Undefined,0.0,,
Patricia Bostrom,F,U,Undefined,0.0,,
Mary Sawyer,F,U,Undefined,0.0,,
Sue Saliba,F,U,Undefined,0.0,,
Kim Sands,F,U,Undefined,0.0,,
Amanda Tobin,F,U,Undefined,0.0,,
Betsy Nagelsen,F,U,Undefined,0.0,,
Sabina Simmonds,F,U,Undefined,0.0,,
Judy Chaloner,F,U,Undefined,0.0,,
Keryn Pratt,F,U,Undefined,0.0,,
Virginia Ruzici,F,U,Undefined,0.0,,
Elizabeth Little,F,U,Undefined,0.0,,
Linda Cassell,F,U,Undefined,0.0,,
Marcella Mesker,F,U,Undefined,0.0,,
Jutta Diesslin,F,U,Undefined,0.0,,
Chris Newton,F,U,Undefined,0.0,,
Susan Leo,F,U,Undefined,0.0,,
Barbara Jordan,F,U,Undefined,0.0,,
Brenda Catton,F,U,Undefined,0.0,,
Anne Minter,F,U,Undefined,0.0,,
Bernadette Randall,F,U,Undefined,0.0,,
Hana Mandlikova,F,U,Undefined,0.0,,
Diane Morrison,F,U,Undefined,0.0,,
Felicia Hutnick,F,U,Undefined,0.0,,
Lindsay Morse,F,U,Undefined,0.0,,
Greer Stevens,F,U,Undefined,0.0,,
Lele Forood,F,U,Undefined,0.0,,
Claudia Kohde Kilsch,F,U,Undefined,0.0,,
Diane Desfor,F,U,Undefined,0.0,,
Betty Stove,F,U,Undefined,0.0,,
Rosalyn Fairbank,F,U,Undefined,0.0,,
Marcie Louie,F,U,Undefined,0.0,,
Christiane Jolissaint,F,U,Undefined,0.0,,
Pam Shriver,F,U,Undefined,0.0,,
Marie Pinterova,F,U,Undefined,0.0,,
Liz Smylie,F,U,Undefined,0.0,,
Hana Strachonova,F,U,Undefined,0.0,,
Barbara Hallquist,F,U,Undefined,0.0,,
Tanya Harford,F,U,Undefined,0.0,,
Sylvia Hanika,F,U,Undefined,0.0,,
Nanette Schutte,F,U,Undefined,0.0,,
Miranda Yates,F,U,Undefined,0.0,,
Candy Reynolds,F,U,Undefined,0.0,,
Marie Christine Calleja,F,U,Undefined,0.0,,
Mima Jausovec,F,U,Undefined,0.0,,
Bettina Bunge,F,U,Undefined,0.0,,
Bonnie Gadusek,F,U,Undefined,0.0,,
Helga Lutten,F,U,Undefined,0.0,,
Barbara Potter,F,U,Undefined,0.0,,
Katerina Bohmova,F,U,Undefined,0.0,,
Helena Sukova,F,U,Undefined,0.0,,
Anne Smith,F,U,Undefined,0.0,,
Paula Smith,F,U,Undefined,0.0,,
Nancy Yeargin,F,U,Undefined,0.0,,
Andrea Jaeger,F,U,Undefined,0.0,,
Isabelle Villiger,F,U,Undefined,0.0,,
Anne Hobbs,F,U,Undefined,0.0,,
Eva Pfaff,F,U,Undefined,0.0,,
Brenda Remilton,F,U,Undefined,0.0,,
Corinne Vanier,F,U,Undefined,0.0,,
Anne White,F,U,Undefined,0.0,,
Leslie Allen,F,U,Undefined,0.0,,
Kathy Jordan,F,U,Undefined,0.0,,
Mary Lou Daniels,F,U,Undefined,0.0,,
Sherry Acker,F,U,Undefined,0.0,,
Jo Durie,F,U,Undefined,0.0,,
Lea Antonoplis,F,U,Undefined,0.0,,
