Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Rejean Genois,M,U,Undefined,0.0,,
Richard Legendre,M,U,Undefined,0.0,,
Chris Gunning,M,U,Undefined,0.0,,
Corrado Barazzutti,M,U,Undefined,0.0,,
George Hardie,M,U,Undefined,0.0,,
James Chico Hagey,M,U,Undefined,0.0,,
Jose Higueras,M,U,Undefined,0.0,,
Jim Delaney,M,U,Undefined,0.0,,
Joaquim Rasgado Jr,M,U,Undefined,0.0,,
Henry Bunis,M,U,Undefined,0.0,,
Robert Kreiss,M,U,Undefined,0.0,,
Mark Farrell,M,U,Undefined,0.0,,
Michael Wayman,M,U,Undefined,0.0,,
Paul Torre,M,U,Undefined,0.0,,
Robert Trogolo,M,U,Undefined,0.0,,
Raul Ramirez,M,U,Undefined,0.0,,
Mike Myburg,M,U,Undefined,0.0,,
Ulises Quezada,M,U,Undefined,0.0,,
Chiraid Mukherjea,M,U,Undefined,0.0,,
Keith Richardson,M,U,Undefined,0.0,,
Bernard Fritz,M,U,Undefined,0.0,,
Hank Pfister,M,U,Undefined,0.0,,
Scott Carnahan,M,U,Undefined,0.0,,
Stephen Warboys,M,U,Undefined,0.0,,
Roger Guedes,M,U,Undefined,0.0,,
Rick Fagel,M,U,Undefined,0.0,,
Mark Meyers,M,U,Undefined,0.0,,
Vijay Amritraj,M,U,Undefined,0.0,,
Emilio Montano,M,U,Undefined,0.0,,
Givaldo Barbosa,M,U,Undefined,0.0,,
John Whitlinger,M,U,Undefined,0.0,,
Ulrich Pinner,M,U,Undefined,0.0,,
Russell Simpson,M,U,Undefined,0.0,,
Willem Prinsloo,M,U,Undefined,0.0,,
Rand Evett,M,U,Undefined,0.0,,
Otto Panman,M,U,Undefined,0.0,,
David Imonitie,M,U,Undefined,0.0,,
Jean Louis Haillet,M,U,Undefined,0.0,,
Balazs Taroczy,M,U,Undefined,0.0,,
Shigeyuki Nishio,M,U,Undefined,0.0,,
Ernie Ewert,M,U,Undefined,0.0,,
David Parker,M,U,Undefined,0.0,,
Guillermo Aubone,M,U,Undefined,0.0,,
Mark Edmondson,M,U,Undefined,0.0,,
Benjy Robins,M,U,Undefined,0.0,,
Victor Amaya,M,U,Undefined,0.0,,
Sam Vuille,M,U,Undefined,0.0,,
Gonzalo Nunez,M,U,Undefined,0.0,,
Vitas Gerulaitis,M,U,Undefined,0.0,,
John Lloyd,M,U,Undefined,0.0,,
Eric Friedler,M,U,Undefined,0.0,,
Pat Dupre,M,U,Undefined,0.0,,
Paul Kronk,M,U,Undefined,0.0,,
Peter Kronk,M,U,Undefined,0.0,,
Gerard Toulon,M,U,Undefined,0.0,,
Glen Holroyd,M,U,Undefined,0.0,,
Franz Josef Wich,M,U,Undefined,0.0,,
Freddie De Jesus,M,U,Undefined,0.0,,
John Lucas,M,U,Undefined,0.0,,
Bruce Kleege,M,U,Undefined,0.0,,
Bernard Mitton,M,U,Undefined,0.0,,
Victor Eke,M,U,Undefined,0.0,,
Paul Mcnamee,M,U,Undefined,0.0,,
Bhanu Nunna,M,U,Undefined,0.0,,
Mike Fishbach,M,U,Undefined,0.0,,
Richard Lewis,M,U,Undefined,0.0,,
Brian Teacher,M,U,Undefined,0.0,,
Willie Davies,M,U,Undefined,0.0,,
Peter Fleming,M,U,Undefined,0.0,,
Jiri Granat,M,U,Undefined,0.0,,
Jonathan Smith,M,U,Undefined,0.0,,
Peter Holl,M,U,Undefined,0.0,,
Heiner Seuss,M,U,Undefined,0.0,,
Belus Prajoux,M,U,Undefined,0.0,,
Haroon Ismail,M,U,Undefined,0.0,,
Herve Gauvain,M,U,Undefined,0.0,,
Helmut Beermann,M,U,Undefined,0.0,,
Robert Baumgartner,M,U,Undefined,0.0,,
Trey Waltke,M,U,Undefined,0.0,,
Christopher Sylvan,M,U,Undefined,0.0,,
Javier Soler,M,U,Undefined,0.0,,
John Hayes,M,U,Undefined,0.0,,
Buster C Mottram,M,U,Undefined,0.0,,
Colin Dowdeswell,M,U,Undefined,0.0,,
David Schneider,M,U,Undefined,0.0,,
Craig Edwards,M,U,Undefined,0.0,,
Butch Walts,M,U,Undefined,0.0,,
Michael Greenberg,M,U,Undefined,0.0,,
Chris Kachel,M,U,Undefined,0.0,,
Peter Mcnamara,M,U,Undefined,0.0,,
Alejandro Cortes,M,U,Undefined,0.0,,
Filip Krajcik,M,U,Undefined,0.0,,
Jose Garcia G003,M,U,Undefined,0.0,,
Jiri Prucha,M,U,Undefined,0.0,,
Peter Pearson,M,U,Undefined,0.0,,
Horace Reid,M,U,Undefined,0.0,,
Trevor Allan,M,U,Undefined,0.0,,
Larry Davidson,M,U,Undefined,0.0,,
Richard Meyer,M,U,Undefined,0.0,,
Marcos Hocevar,M,U,Undefined,0.0,,
Angel Gimenez,M,U,Undefined,0.0,,
Victor Pecci,M,U,Undefined,0.0,,
Martin Robinson,M,U,Undefined,0.0,,
Terry Rocavert,M,U,Undefined,0.0,,
Julio Goes,M,U,Undefined,0.0,,
Rocky Maguire,M,U,Undefined,0.0,,
Hubertus Hoyt,M,U,Undefined,0.0,,
Sean Sorensen,M,U,Undefined,0.0,,
Francisco Gonzalez,M,U,Undefined,0.0,,
Rolf Gehring,M,U,Undefined,0.0,,
David Sherbeck,M,U,Undefined,0.0,,
Fernando Maynetto,M,U,Undefined,0.0,,
Greg Halder,M,U,Undefined,0.0,,
Dale Collings,M,U,Undefined,0.0,,
Gary Plock,M,U,Undefined,0.0,,
Randy Crawford,M,U,Undefined,0.0,,
Tim Garcia,M,U,Undefined,0.0,,
Pavel Slozil,M,U,Undefined,0.0,,
Bruce Nichols,M,U,Undefined,0.0,,
Ulrich Marten,M,U,Undefined,0.0,,
Gunther Gnettner,M,U,Undefined,0.0,,
Michael Grant,M,U,Undefined,0.0,,
Bill Maze,M,U,Undefined,0.0,,
Hans Gildemeister,M,U,Undefined,0.0,,
Geoff Martinez,M,U,Undefined,0.0,,
Todd Lundy,M,U,Undefined,0.0,,
Hans Ritschard,M,U,Undefined,0.0,,
Jan Norback,M,U,Undefined,0.0,,
Bruce Manson,M,U,Undefined,0.0,,
Jochen Hierl,M,U,Undefined,0.0,,
Warren Eber,M,U,Undefined,0.0,,
Junie Chatman,M,U,Undefined,0.0,,
Hans Peter Kandler,M,U,Undefined,0.0,,
Ferrante Rocchi,M,U,Undefined,0.0,,
Gene Mayer,M,U,Undefined,0.0,,
Miguel Mir,M,U,Undefined,0.0,,
David Carter,M,U,Undefined,0.0,,
Mansour Bahrami,M,U,Undefined,0.0,,
Robert Bettauer,M,U,Undefined,0.0,,
Fritz Don,M,U,Undefined,0.0,,
Tomas Smid,M,U,Undefined,0.0,,
Regis Brunet,M,U,Undefined,0.0,,
Nick Saviano,M,U,Undefined,0.0,,
Bjorn Borg,M,U,Undefined,0.0,,
Carlos Gattiker,M,U,Undefined,0.0,,
Mike Barr,M,U,Undefined,0.0,,
Eddie Edwards,M,U,Undefined,0.0,,
Mark Darby,M,U,Undefined,0.0,,
Gianni Marchetti,M,U,Undefined,0.0,,
Christophe Freyss,M,U,Undefined,0.0,,
Werner Zirngibl,M,U,Undefined,0.0,,
Steve Denton,M,U,Undefined,0.0,,
John Sadri,M,U,Undefined,0.0,,
Juan Nunez,M,U,Undefined,0.0,,
Bruce Foxworth,M,U,Undefined,0.0,,
Stanislav Birner,M,U,Undefined,0.0,,
Leo Palin,M,U,Undefined,0.0,,
Tony Graham,M,U,Undefined,0.0,,
Bill Scanlon,M,U,Undefined,0.0,,
Jose Luis Damiani,M,U,Undefined,0.0,,
Mehl Ampon,M,U,Undefined,0.0,,
Tony Lloyd,M,U,Undefined,0.0,,
Ferdi Taygan,M,U,Undefined,0.0,,
Carlos Soares,M,U,Undefined,0.0,,
Pedro Gonzalez G162,M,U,Undefined,0.0,,
Tracy Delatte,M,U,Undefined,0.0,,
Jose Lopez Maeso,M,U,Undefined,0.0,,
Billy Martin,M,U,Undefined,0.0,,
Jeff Etterbeek,M,U,Undefined,0.0,,
Ben Mckown,M,U,Undefined,0.0,,
Warren Maher,M,U,Undefined,0.0,,
Mike Shore,M,U,Undefined,0.0,,
Maurice Hunter,M,U,Undefined,0.0,,
Mark Turpin,M,U,Undefined,0.0,,
Dominique Bedel,M,U,Undefined,0.0,,
Ashok Amritraj,M,U,Undefined,0.0,,
Juan Carlos Andrade,M,U,Undefined,0.0,,
Mark Vines,M,U,Undefined,0.0,,
Craig Wittus,M,U,Undefined,0.0,,
Glenn Petrovic,M,U,Undefined,0.0,,
Chris Lewis Nzl,M,U,Undefined,0.0,,
Matt Mitchell,M,U,Undefined,0.0,,
Nigel Sears,M,U,Undefined,0.0,,
Gianni Ocleppo,M,U,Undefined,0.0,,
Pascal Deniau,M,U,Undefined,0.0,,
Reinhart Probst,M,U,Undefined,0.0,,
Josef Brabenec,M,U,Undefined,0.0,,
Roberto Vizcaino,M,U,Undefined,0.0,,
Jochen Settelmeyer,M,U,Undefined,0.0,,
Christophe Casa,M,U,Undefined,0.0,,
Pem Guerry,M,U,Undefined,0.0,,
Tsuyoshi Fukui,M,U,Undefined,0.0,,
Christophe Roger Vasselin,M,U,Undefined,0.0,,
Renald Etienne,M,U,Undefined,0.0,,
Chris Delaney,M,U,Undefined,0.0,,
Larry Stefanki,M,U,Undefined,0.0,,
Jaroslav Navratil,M,U,Undefined,0.0,,
Alan Chandronnait,M,U,Undefined,0.0,,
John Austin,M,U,Undefined,0.0,,
Eric Sherbeck,M,U,Undefined,0.0,,
John Picken,M,U,Undefined,0.0,,
Wayne Hampson,M,U,Undefined,0.0,,
Charles Buzz Strode,M,U,Undefined,0.0,,
Markus Gunthardt,M,U,Undefined,0.0,,
Klaus Eberhard,M,U,Undefined,0.0,,
Chris Mayotte,M,U,Undefined,0.0,,
Rohun Beven,M,U,Undefined,0.0,,
Gregoire Rafaitin,M,U,Undefined,0.0,,
Vincent Van Patten,M,U,Undefined,0.0,,
Lorenzo Fargas,M,U,Undefined,0.0,,
Jerome Vanier,M,U,Undefined,0.0,,
Famiano Meneschincheri,M,U,Undefined,0.0,,
Howard Schoenfield,M,U,Undefined,0.0,,
Curt Stalder,M,U,Undefined,0.0,,
Peter Spang,M,U,Undefined,0.0,,
Joakim Berner,M,U,Undefined,0.0,,
Franco Merlone,M,U,Undefined,0.0,,
Kevin Manning,M,U,Undefined,0.0,,
Robert Reininger,M,U,Undefined,0.0,,
Hugo Roverano,M,U,Undefined,0.0,,
Manfred Jungnitsch,M,U,Undefined,0.0,,
Shlomo Glickstein,M,U,Undefined,0.0,,
Andrew Jarrett,M,U,Undefined,0.0,,
