IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,label
67,0.0,84.0,0.5119047619047619,0.0
37,0.0,61.0,0.4098360655737705,0.0
10,0.0,13.0,0.5384615384615384,1.0
18,0.0,32.0,0.5,0.0
70,0.0,50.0,0.46,0.0
41,0.0,18.0,0.3888888888888889,0.0
27,0.0,42.0,0.3809523809523809,0.0
79,0.0,29.0,0.6551724137931034,0.0
28,0.0,163.0,0.4294478527607362,0.0
27,1.0,280.0,0.5321428571428571,0.0
43,0.0,220.0,0.509090909090909,0.0
67,4.0,233.0,0.6008583690987125,0.0
3,0.0,64.0,0.421875,0.0
6,0.0,20.0,0.4,0.0
30,1.0,264.0,0.5454545454545454,0.0
56,2.0,280.0,0.4857142857142857,0.0
25,0.0,35.0,0.4571428571428571,0.0
10,0.0,20.0,0.55,1.0
15,0.0,64.0,0.390625,0.0
15,0.0,8.0,0.375,1.0
58,0.0,118.0,0.4661016949152542,0.0
28,11.0,183.0,0.7595628415300546,0.0
1,2.0,235.0,0.502127659574468,0.0
77,0.0,80.0,0.5,0.0
27,0.0,12.0,0.4166666666666667,1.0
68,27.0,339.0,0.8525073746312685,0.0
41,6.0,287.0,0.578397212543554,0.0
27,1.0,224.0,0.4732142857142857,0.0
24,0.0,5.0,0.4,1.0
6,0.0,31.0,0.5161290322580645,0.0
39,1.0,97.0,0.5463917525773195,0.0
76,1.0,82.0,0.4024390243902439,0.0
6,0.0,97.0,0.3195876288659793,0.0
41,0.0,216.0,0.4351851851851852,0.0
30,1.0,161.0,0.515527950310559,0.0
43,1.0,74.0,0.3783783783783784,0.0
66,0.0,16.0,0.6875,1.0
37,0.0,50.0,0.42,0.0
56,0.0,129.0,0.4573643410852713,0.0
79,0.0,2.0,0.5,1.0
30,2.0,259.0,0.4787644787644787,0.0
14,0.0,23.0,0.391304347826087,1.0
74,0.0,14.0,0.3571428571428571,1.0
77,4.0,244.0,0.5245901639344263,0.0
8,0.0,30.0,0.4,1.0
56,0.0,12.0,0.4166666666666667,0.0
79,3.0,232.0,0.5474137931034483,0.0
42,0.0,63.0,0.4444444444444444,0.0
8,0.0,68.0,0.5147058823529411,1.0
58,0.0,15.0,0.2,1.0
37,0.0,129.0,0.5658914728682171,0.0
71,4.0,285.0,0.5228070175438596,0.0
37,0.0,2.0,0.5,1.0
71,0.0,3.0,0.3333333333333333,1.0
30,0.0,76.0,0.5657894736842105,0.0
2,0.0,16.0,0.5,1.0
2,3.0,219.0,0.5296803652968036,0.0
15,2.0,188.0,0.526595744680851,0.0
42,0.0,66.0,0.4242424242424242,0.0
7,0.0,182.0,0.4175824175824176,0.0
43,3.0,291.0,0.5120274914089347,0.0
41,0.0,313.0,0.4440894568690096,0.0
10,1.0,232.0,0.4784482758620689,0.0
79,2.0,209.0,0.5215311004784688,0.0
62,0.0,18.0,0.2777777777777778,1.0
10,0.0,12.0,0.5833333333333334,1.0
13,0.0,52.0,0.4038461538461538,0.0
37,0.0,18.0,0.3333333333333333,0.0
6,2.0,283.0,0.5053003533568905,0.0
24,3.0,326.0,0.5153374233128835,0.0
77,0.0,3.0,0.3333333333333333,1.0
77,0.0,52.0,0.4038461538461538,0.0
27,0.0,22.0,0.3636363636363636,0.0
30,0.0,94.0,0.574468085106383,0.0
43,0.0,2.0,0.5,1.0
6,0.0,16.0,0.375,0.0
27,1.0,42.0,0.4761904761904761,0.0
28,0.0,97.0,0.4948453608247423,0.0
63,0.0,6.0,0.1666666666666666,1.0
30,0.0,70.0,0.5142857142857142,0.0
21,0.0,47.0,0.4468085106382978,1.0
72,0.0,18.0,0.5555555555555556,1.0
27,0.0,7.0,0.4285714285714285,1.0
1,0.0,58.0,0.4827586206896552,1.0
24,0.0,30.0,0.6333333333333333,0.0
77,0.0,36.0,0.3333333333333333,1.0
25,1.0,173.0,0.5144508670520231,0.0
24,0.0,51.0,0.4901960784313725,0.0
24,8.0,336.0,0.6547619047619048,0.0
42,0.0,7.0,0.4285714285714285,1.0
42,1.0,274.0,0.5218978102189781,0.0
50,0.0,16.0,0.5625,1.0
62,0.0,19.0,0.4210526315789473,1.0
10,2.0,178.0,0.4943820224719101,0.0
63,8.0,293.0,0.5836177474402731,0.0
9,0.0,60.0,0.4,0.0
1,0.0,26.0,0.4615384615384615,1.0
70,0.0,68.0,0.5882352941176471,0.0
27,0.0,153.0,0.4901960784313725,0.0
12,3.0,332.0,0.4909638554216867,0.0
56,0.0,52.0,0.4615384615384615,1.0
27,5.0,326.0,0.5214723926380368,0.0
16,0.0,7.0,0.2857142857142857,0.0
27,0.0,19.0,0.4210526315789473,0.0
10,0.0,45.0,0.4444444444444444,0.0
68,1.0,134.0,0.4552238805970149,0.0
46,1.0,211.0,0.4549763033175355,0.0
2,0.0,3.0,0.3333333333333333,1.0
42,7.0,295.0,0.535593220338983,0.0
56,1.0,106.0,0.4245283018867924,0.0
41,0.0,6.0,0.1666666666666666,1.0
35,1.0,154.0,0.525974025974026,0.0
16,5.0,312.0,0.6346153846153846,0.0
12,0.0,34.0,0.3823529411764705,0.0
37,0.0,25.0,0.36,1.0
30,0.0,2.0,0.5,1.0
77,1.0,101.0,0.5247524752475248,0.0
39,0.0,5.0,0.2,1.0
42,0.0,7.0,0.2857142857142857,1.0
16,0.0,31.0,0.3225806451612903,1.0
10,0.0,26.0,0.3461538461538461,1.0
18,0.0,2.0,0.5,1.0
65,0.0,2.0,0.5,1.0
16,0.0,70.0,0.5,0.0
10,0.0,49.0,0.3673469387755102,1.0
2,0.0,2.0,0.5,1.0
10,0.0,9.0,0.5555555555555556,1.0
27,0.0,22.0,0.3636363636363636,0.0
21,0.0,165.0,0.5212121212121212,0.0
60,0.0,41.0,0.3902439024390244,1.0
1,0.0,41.0,0.5365853658536586,0.0
79,0.0,49.0,0.5102040816326531,0.0
24,0.0,95.0,0.4105263157894737,0.0
2,0.0,48.0,0.5,1.0
13,0.0,12.0,0.4166666666666667,1.0
79,0.0,8.0,0.25,1.0
15,0.0,204.0,0.4558823529411764,0.0
13,0.0,8.0,0.25,1.0
41,0.0,29.0,0.3448275862068966,0.0
8,0.0,61.0,0.4426229508196721,0.0
24,1.0,50.0,0.46,0.0
16,1.0,157.0,0.4394904458598726,0.0
63,1.0,286.0,0.444055944055944,0.0
24,0.0,3.0,0.3333333333333333,1.0
6,0.0,47.0,0.5106382978723404,0.0
52,0.0,6.0,0.1666666666666666,1.0
64,0.0,9.0,0.3333333333333333,1.0
27,2.0,325.0,0.4861538461538461,0.0
81,0.0,70.0,0.3857142857142857,1.0
42,0.0,8.0,0.5,1.0
79,0.0,28.0,0.5,0.0
1,0.0,36.0,0.5,0.0
14,0.0,107.0,0.4299065420560747,0.0
41,5.0,297.0,0.5084175084175084,0.0
26,0.0,70.0,0.4285714285714285,0.0
3,0.0,9.0,0.3333333333333333,1.0
2,5.0,288.0,0.5451388888888888,0.0
74,4.0,306.0,0.5359477124183006,0.0
70,0.0,6.0,0.3333333333333333,1.0
71,4.0,237.0,0.5358649789029536,0.0
30,2.0,285.0,0.519298245614035,0.0
67,5.0,262.0,0.5801526717557252,0.0
10,0.0,10.0,0.2,1.0
79,0.0,218.0,0.4770642201834862,0.0
56,0.0,11.0,0.5454545454545454,0.0
42,0.0,2.0,0.5,1.0
79,0.0,23.0,0.2608695652173913,0.0
62,0.0,40.0,0.475,0.0
41,0.0,4.0,0.5,1.0
41,0.0,247.0,0.5263157894736842,0.0
71,6.0,328.0,0.5396341463414634,0.0
27,0.0,2.0,0.5,1.0
27,0.0,39.0,0.4102564102564102,0.0
18,0.0,33.0,0.2727272727272727,0.0
28,0.0,17.0,0.5294117647058824,0.0
3,0.0,72.0,0.4444444444444444,0.0
72,0.0,14.0,0.5,1.0
2,0.0,23.0,0.4347826086956521,1.0
51,6.0,337.0,0.5192878338278932,0.0
37,2.0,258.0,0.5271317829457365,0.0
18,0.0,20.0,0.4,1.0
65,0.0,98.0,0.4795918367346938,1.0
72,0.0,103.0,0.4757281553398058,0.0
24,0.0,156.0,0.4166666666666667,0.0
68,0.0,6.0,0.1666666666666666,1.0
2,0.0,227.0,0.4889867841409692,0.0
79,0.0,43.0,0.5348837209302325,0.0
79,7.0,271.0,0.5387453874538746,0.0
41,0.0,35.0,0.5142857142857142,0.0
42,3.0,283.0,0.6749116607773852,0.0
2,0.0,168.0,0.4464285714285714,0.0
60,0.0,19.0,0.3157894736842105,1.0
36,0.0,28.0,0.4285714285714285,0.0
81,0.0,12.0,0.25,1.0
30,0.0,64.0,0.46875,0.0
1,2.0,272.0,0.5551470588235294,0.0
9,0.0,19.0,0.0526315789473684,1.0
26,0.0,3.0,0.6666666666666666,1.0
1,9.0,357.0,0.6106442577030813,0.0
74,0.0,13.0,0.2307692307692307,1.0
7,0.0,126.0,0.4126984126984127,0.0
41,0.0,29.0,0.4482758620689655,0.0
20,0.0,213.0,0.5070422535211268,0.0
32,0.0,21.0,0.4761904761904761,1.0
37,0.0,66.0,0.4242424242424242,0.0
30,0.0,32.0,0.53125,1.0
45,0.0,80.0,0.4375,0.0
64,0.0,4.0,0.25,1.0
79,0.0,22.0,0.2272727272727272,1.0
28,0.0,19.0,0.2631578947368421,1.0
79,0.0,193.0,0.4766839378238341,0.0
30,0.0,140.0,0.4857142857142857,0.0
24,0.0,92.0,0.4130434782608695,0.0
41,0.0,6.0,0.1666666666666666,0.0
2,0.0,12.0,0.5,1.0
30,2.0,346.0,0.546242774566474,0.0
28,0.0,71.0,0.4647887323943662,0.0
24,0.0,117.0,0.4615384615384615,0.0
10,0.0,6.0,0.3333333333333333,0.0
66,0.0,17.0,0.2352941176470588,1.0
41,0.0,57.0,0.4561403508771929,0.0
66,5.0,324.0,0.4938271604938271,0.0
3,0.0,27.0,0.1481481481481481,0.0
66,0.0,6.0,0.3333333333333333,1.0
65,0.0,11.0,0.1818181818181818,1.0
1,4.0,265.0,0.5245283018867924,0.0
76,0.0,11.0,0.1818181818181818,1.0
42,0.0,16.0,0.375,1.0
28,7.0,287.0,0.6202090592334495,0.0
3,0.0,30.0,0.3666666666666666,1.0
27,0.0,89.0,0.3932584269662921,0.0
12,0.0,7.0,0.2857142857142857,1.0
41,3.0,309.0,0.5372168284789643,0.0
38,0.0,3.0,0.3333333333333333,1.0
10,0.0,54.0,0.4629629629629629,1.0
79,0.0,120.0,0.4583333333333333,0.0
48,8.0,279.0,0.5806451612903226,0.0
12,5.0,272.0,0.5808823529411765,0.0
15,0.0,73.0,0.5068493150684932,0.0
73,0.0,12.0,0.3333333333333333,1.0
68,3.0,314.0,0.4968152866242038,0.0
14,2.0,182.0,0.521978021978022,0.0
67,0.0,18.0,0.2222222222222222,1.0
3,6.0,189.0,0.5978835978835979,0.0
8,2.0,252.0,0.4642857142857143,0.0
2,0.0,34.0,0.3823529411764705,0.0
6,0.0,22.0,0.4090909090909091,0.0
2,0.0,114.0,0.4736842105263157,0.0
18,2.0,171.0,0.5146198830409356,0.0
1,0.0,11.0,0.4545454545454545,1.0
30,0.0,18.0,0.6111111111111112,0.0
71,5.0,319.0,0.5266457680250783,0.0
79,3.0,196.0,0.5306122448979592,0.0
30,0.0,13.0,0.4615384615384615,1.0
45,0.0,14.0,0.3571428571428571,1.0
83,0.0,74.0,0.4189189189189189,0.0
41,0.0,9.0,0.3333333333333333,1.0
18,0.0,5.0,0.6,1.0
22,1.0,296.0,0.4662162162162162,0.0
41,1.0,261.0,0.4904214559386973,0.0
13,0.0,31.0,0.4193548387096774,1.0
28,0.0,24.0,0.5416666666666666,1.0
67,3.0,303.0,0.5445544554455446,0.0
1,5.0,300.0,0.5833333333333334,0.0
66,0.0,10.0,0.3,1.0
30,4.0,187.0,0.5989304812834224,0.0
28,0.0,17.0,0.4705882352941176,1.0
28,0.0,9.0,0.4444444444444444,0.0
79,0.0,110.0,0.4636363636363636,0.0
42,2.0,272.0,0.4558823529411764,0.0
23,3.0,230.0,0.4956521739130435,0.0
64,1.0,280.0,0.5321428571428571,0.0
68,0.0,20.0,0.45,1.0
53,0.0,2.0,0.5,1.0
62,2.0,84.0,0.5833333333333334,0.0
63,4.0,275.0,0.5381818181818182,0.0
10,0.0,17.0,0.3529411764705882,1.0
6,3.0,320.0,0.63125,0.0
68,0.0,60.0,0.3833333333333333,1.0
27,0.0,101.0,0.4455445544554455,0.0
15,1.0,50.0,0.38,0.0
41,0.0,20.0,0.35,1.0
12,1.0,246.0,0.6788617886178862,0.0
52,0.0,60.0,0.4166666666666667,1.0
56,0.0,10.0,0.5,1.0
56,1.0,80.0,0.45,0.0
41,0.0,150.0,0.3733333333333333,0.0
6,0.0,17.0,0.4117647058823529,1.0
41,0.0,68.0,0.3529411764705882,0.0
10,0.0,26.0,0.3461538461538461,1.0
65,0.0,29.0,0.2413793103448276,0.0
16,0.0,27.0,0.4814814814814814,1.0
55,0.0,104.0,0.5288461538461539,0.0
27,0.0,29.0,0.3103448275862069,0.0
37,0.0,7.0,0.2857142857142857,1.0
66,1.0,143.0,0.5384615384615384,0.0
6,0.0,91.0,0.4615384615384615,0.0
12,1.0,265.0,0.490566037735849,0.0
27,2.0,275.0,0.5527272727272727,0.0
79,0.0,6.0,0.5,1.0
37,0.0,12.0,0.4166666666666667,1.0
74,0.0,161.0,0.4161490683229814,0.0
22,0.0,72.0,0.3888888888888889,0.0
24,0.0,175.0,0.3885714285714285,0.0
10,0.0,5.0,0.4,1.0
70,0.0,44.0,0.4090909090909091,0.0
24,0.0,6.0,0.5,1.0
26,0.0,3.0,0.3333333333333333,1.0
1,0.0,5.0,0.4,1.0
11,4.0,280.0,0.6107142857142858,0.0
30,0.0,95.0,0.5157894736842106,0.0
13,0.0,11.0,0.1818181818181818,1.0
8,0.0,42.0,0.4285714285714285,1.0
24,1.0,205.0,0.4829268292682926,0.0
30,0.0,9.0,0.3333333333333333,1.0
42,0.0,29.0,0.4137931034482758,0.0
30,0.0,6.0,0.5,1.0
24,0.0,23.0,0.4347826086956521,0.0
45,0.0,19.0,0.5789473684210527,1.0
52,0.0,14.0,0.2142857142857142,1.0
30,0.0,21.0,0.5714285714285714,0.0
56,0.0,9.0,0.2222222222222222,1.0
7,2.0,281.0,0.5231316725978647,0.0
24,6.0,317.0,0.6182965299684543,0.0
42,0.0,148.0,0.4932432432432432,0.0
36,0.0,6.0,0.5,1.0
3,0.0,93.0,0.5161290322580645,0.0
79,3.0,271.0,0.5202952029520295,0.0
80,0.0,9.0,0.2222222222222222,1.0
1,6.0,283.0,0.568904593639576,0.0
13,0.0,8.0,0.125,0.0
41,0.0,60.0,0.4,0.0
42,0.0,9.0,0.2222222222222222,0.0
66,0.0,3.0,0.3333333333333333,0.0
15,0.0,64.0,0.453125,0.0
48,0.0,136.0,0.4779411764705882,0.0
27,0.0,4.0,0.75,1.0
41,1.0,286.0,0.4405594405594406,0.0
14,1.0,197.0,0.4517766497461929,0.0
54,0.0,16.0,0.4375,0.0
27,0.0,16.0,0.3125,1.0
74,0.0,27.0,0.2222222222222222,1.0
52,0.0,25.0,0.08,1.0
27,0.0,101.0,0.5544554455445545,0.0
10,0.0,7.0,0.4285714285714285,1.0
10,0.0,13.0,0.0769230769230769,0.0
42,0.0,8.0,0.375,1.0
30,6.0,260.0,0.5807692307692308,0.0
79,0.0,166.0,0.4518072289156626,0.0
72,0.0,84.0,0.3928571428571428,0.0
27,0.0,77.0,0.4805194805194805,0.0
27,0.0,2.0,0.5,1.0
21,2.0,278.0,0.5359712230215827,0.0
10,0.0,3.0,0.3333333333333333,1.0
2,0.0,81.0,0.5061728395061729,0.0
41,4.0,268.0,0.585820895522388,0.0
66,0.0,3.0,0.3333333333333333,1.0
30,0.0,5.0,0.4,0.0
66,0.0,24.0,0.2916666666666667,1.0
24,0.0,16.0,0.3125,0.0
41,0.0,27.0,0.4074074074074074,0.0
66,0.0,76.0,0.3815789473684211,1.0
78,0.0,128.0,0.484375,0.0
2,9.0,224.0,0.6116071428571429,0.0
68,2.0,224.0,0.4910714285714285,0.0
30,0.0,175.0,0.5771428571428572,0.0
39,0.0,55.0,0.4,0.0
1,1.0,250.0,0.492,0.0
35,3.0,338.0,0.5828402366863905,0.0
27,0.0,33.0,0.5454545454545454,0.0
28,0.0,6.0,0.5,1.0
28,0.0,10.0,0.6,0.0
70,0.0,85.0,0.4,1.0
29,7.0,317.0,0.5141955835962145,0.0
21,0.0,260.0,0.4923076923076923,0.0
14,0.0,30.0,0.2333333333333333,1.0
68,6.0,276.0,0.644927536231884,0.0
27,0.0,107.0,0.5233644859813084,0.0
41,4.0,358.0,0.4972067039106145,0.0
15,0.0,29.0,0.4137931034482758,1.0
74,0.0,6.0,0.5,0.0
1,2.0,305.0,0.5672131147540984,0.0
1,3.0,295.0,0.4711864406779661,0.0
35,0.0,32.0,0.40625,0.0
66,0.0,12.0,0.5833333333333334,1.0
79,0.0,191.0,0.418848167539267,0.0
81,0.0,6.0,0.5,1.0
6,2.0,230.0,0.5130434782608696,0.0
2,0.0,33.0,0.5151515151515151,0.0
70,4.0,357.0,0.5294117647058824,0.0
13,0.0,6.0,0.1666666666666666,1.0
28,0.0,9.0,0.3333333333333333,1.0
2,1.0,122.0,0.4508196721311475,0.0
10,0.0,3.0,0.6666666666666666,1.0
45,0.0,8.0,0.25,1.0
4,3.0,224.0,0.5491071428571429,0.0
56,0.0,4.0,0.25,1.0
79,2.0,208.0,0.5144230769230769,0.0
10,0.0,4.0,0.5,1.0
10,0.0,16.0,0.375,1.0
14,0.0,12.0,0.3333333333333333,1.0
7,4.0,347.0,0.5389048991354467,0.0
27,2.0,258.0,0.5155038759689923,0.0
1,1.0,159.0,0.4968553459119497,0.0
30,0.0,4.0,0.25,1.0
30,0.0,16.0,0.375,1.0
37,0.0,8.0,0.375,1.0
64,1.0,64.0,0.4375,0.0
16,0.0,44.0,0.4318181818181818,1.0
37,2.0,131.0,0.6183206106870229,0.0
79,0.0,84.0,0.5476190476190477,0.0
1,0.0,163.0,0.4601226993865031,0.0
27,0.0,27.0,0.3333333333333333,1.0
42,5.0,268.0,0.5111940298507462,0.0
72,0.0,30.0,0.4,1.0
30,0.0,36.0,0.3611111111111111,0.0
1,3.0,195.0,0.5692307692307692,0.0
79,2.0,336.0,0.5446428571428571,0.0
68,0.0,2.0,0.5,1.0
16,0.0,19.0,0.1578947368421052,1.0
18,0.0,3.0,0.3333333333333333,0.0
66,0.0,33.0,0.3636363636363636,1.0
66,0.0,11.0,0.4545454545454545,1.0
1,1.0,152.0,0.4473684210526316,0.0
79,4.0,203.0,0.5566502463054187,0.0
13,0.0,26.0,0.3076923076923077,1.0
3,0.0,9.0,0.3333333333333333,0.0
12,0.0,40.0,0.275,1.0
72,0.0,23.0,0.4347826086956521,1.0
41,6.0,335.0,0.5492537313432836,0.0
2,2.0,205.0,0.4926829268292683,0.0
66,1.0,280.0,0.4535714285714285,0.0
44,0.0,14.0,0.3571428571428571,1.0
45,0.0,13.0,0.3846153846153846,1.0
71,4.0,330.0,0.5515151515151515,0.0
8,5.0,270.0,0.5666666666666667,0.0
2,0.0,37.0,0.4594594594594595,0.0
10,0.0,9.0,0.4444444444444444,1.0
41,2.0,327.0,0.5076452599388379,0.0
79,0.0,11.0,0.4545454545454545,1.0
10,0.0,252.0,0.496031746031746,0.0
29,0.0,8.0,0.125,1.0
2,2.0,229.0,0.5676855895196506,0.0
71,1.0,245.0,0.5183673469387755,0.0
24,0.0,51.0,0.3725490196078431,0.0
24,1.0,99.0,0.4343434343434343,0.0
42,5.0,340.0,0.538235294117647,0.0
64,0.0,11.0,0.4545454545454545,1.0
27,0.0,306.0,0.5196078431372549,0.0
8,0.0,54.0,0.4814814814814814,0.0
40,0.0,8.0,0.375,1.0
24,7.0,384.0,0.5572916666666666,0.0
62,0.0,5.0,0.2,1.0
61,0.0,11.0,0.2727272727272727,1.0
27,0.0,8.0,0.5,1.0
1,1.0,54.0,0.4629629629629629,1.0
1,0.0,77.0,0.4285714285714285,0.0
21,0.0,36.0,0.3055555555555556,0.0
6,0.0,150.0,0.58,0.0
37,0.0,94.0,0.4787234042553192,0.0
77,0.0,55.0,0.4181818181818181,0.0
27,0.0,61.0,0.4098360655737705,0.0
13,1.0,106.0,0.5188679245283019,0.0
81,0.0,54.0,0.5370370370370371,1.0
24,0.0,106.0,0.4528301886792453,0.0
15,0.0,52.0,0.4230769230769231,1.0
1,0.0,10.0,0.3,1.0
45,0.0,19.0,0.3684210526315789,1.0
2,5.0,134.0,0.6567164179104478,0.0
43,0.0,114.0,0.4210526315789473,0.0
27,0.0,21.0,0.5238095238095238,0.0
30,0.0,8.0,0.375,1.0
24,0.0,3.0,0.3333333333333333,1.0
9,5.0,215.0,0.5813953488372093,0.0
51,0.0,12.0,0.5,0.0
10,0.0,157.0,0.4904458598726114,0.0
80,0.0,14.0,0.2142857142857142,1.0
42,0.0,4.0,0.25,1.0
45,0.0,10.0,0.4,1.0
16,0.0,7.0,0.4285714285714285,1.0
18,3.0,302.0,0.5463576158940397,0.0
10,0.0,39.0,0.4102564102564102,0.0
30,2.0,288.0,0.5798611111111112,0.0
79,3.0,302.0,0.5794701986754967,0.0
79,2.0,239.0,0.5690376569037657,0.0
11,0.0,166.0,0.5421686746987951,0.0
29,0.0,32.0,0.34375,0.0
2,0.0,104.0,0.4807692307692308,0.0
45,0.0,66.0,0.5454545454545454,0.0
1,3.0,301.0,0.5481727574750831,0.0
20,0.0,161.0,0.4037267080745341,0.0
3,14.0,352.0,0.6931818181818182,0.0
66,3.0,238.0,0.5714285714285714,0.0
16,0.0,26.0,0.3846153846153846,0.0
30,0.0,28.0,0.4642857142857143,0.0
67,0.0,15.0,0.4,1.0
41,0.0,79.0,0.5189873417721519,0.0
63,2.0,199.0,0.457286432160804,0.0
52,0.0,50.0,0.16,1.0
